sec,nsec,x,y,z,roll,pitch,yaw
47,904707967,1954.833,108.596,1406.729,330.119,317.606,165.995
48,46428580,1954.895,108.768,1406.542,331.113,315.708,165.095
48,165223514,1954.949,108.917,1406.391,331.925,314.306,164.047
48,267042260,1954.997,109.052,1406.266,332.761,313.473,162.692
48,388611192,1955.055,109.212,1406.128,333.922,312.758,161.090
48,569636081,1955.147,109.456,1405.933,335.644,310.755,159.089
48,674355115,1955.202,109.594,1405.828,337.146,309.750,157.518
48,825899427,1955.261,109.787,1405.691,337.042,307.382,156.914
48,936308417,1955.303,109.924,1405.586,337.156,306.084,156.078
49,38128189,1955.350,110.053,1405.489,337.957,305.872,155.076
49,141238788,1955.402,110.187,1405.393,339.277,306.111,153.945
49,246871122,1955.459,110.326,1405.299,340.852,306.225,152.720
49,364580407,1955.520,110.470,1405.192,342.116,307.180,151.969
49,498248143,1955.589,110.619,1405.075,343.282,308.320,152.234
49,616481492,1955.644,110.740,1404.975,344.065,309.168,152.510
49,721916533,1955.692,110.845,1404.879,344.297,309.434,152.873
49,860544449,1955.758,111.004,1404.745,344.921,309.857,152.804
49,963700618,1955.807,111.130,1404.646,345.742,310.262,152.339
50,86968549,1955.873,111.280,1404.533,347.560,310.781,151.187
50,203070790,1955.948,111.390,1404.421,348.865,311.657,150.611
50,336259421,1956.047,111.470,1404.279,350.328,314.845,150.273
50,435776859,1956.133,111.520,1404.159,351.587,318.441,149.029
50,555610646,1956.259,111.586,1404.001,353.740,323.669,147.080
50,703457555,1956.438,111.630,1403.776,355.388,332.576,145.247
50,817249209,1956.589,111.625,1403.585,356.364,341.232,144.772
50,947658683,1956.755,111.604,1403.358,356.842,351.082,145.311
51,71705055,1956.903,111.589,1403.128,354.827,358.373,144.888
51,307740417,1957.180,111.596,1402.738,353.914,5.010,143.357
51,414168908,1957.335,111.595,1402.558,354.150,5.185,142.153
51,520630493,1957.477,111.592,1402.393,354.009,4.764,140.911
51,642351442,1957.618,111.560,1402.208,352.108,3.823,139.562
51,775304892,1957.793,111.516,1401.993,350.987,1.986,138.425
51,877154713,1957.944,111.518,1401.849,352.206,2.175,137.414
51,992901537,1958.122,111.531,1401.689,353.680,2.084,136.339
52,107063139,1958.314,111.524,1401.514,353.922,1.841,135.163
52,238244945,1958.518,111.507,1401.314,353.438,2.275,133.935
52,344031801,1958.677,111.499,1401.171,353.901,2.770,133.200
52,449930391,1958.839,111.493,1401.038,354.608,3.158,132.616
52,580091474,1959.065,111.475,1400.846,354.617,2.132,131.801
52,679660183,1959.232,111.467,1400.701,354.593,1.641,131.213
52,896216149,1959.567,111.462,1400.421,354.605,1.749,129.592
52,996964015,1959.735,111.461,1400.296,354.838,1.513,128.931
53,118523016,1959.946,111.468,1400.147,355.096,1.386,127.930
53,235357695,1960.136,111.482,1400.027,355.902,359.739,127.019
53,350606771,1960.328,111.496,1399.915,356.930,357.519,126.012
53,489904852,1960.570,111.505,1399.779,358.286,354.511,125.443
53,622050559,1960.801,111.521,1399.645,359.387,351.707,125.169
53,726629956,1960.976,111.555,1399.548,0.492,350.946,125.047
53,851872518,1961.204,111.590,1399.421,1.697,349.788,124.243
53,986958444,1961.430,111.627,1399.288,2.394,348.257,124.193
54,114658744,1961.635,111.670,1399.166,3.410,347.241,124.191
54,218720927,1961.818,111.715,1399.066,4.820,347.054,123.791
54,329697104,1962.013,111.749,1398.957,6.138,348.347,123.551
54,451785271,1962.229,111.781,1398.851,7.748,349.549,122.983
54,557415961,1962.425,111.817,1398.765,9.468,349.833,122.494
54,727325260,1962.738,111.861,1398.627,11.643,351.134,121.505
54,841608210,1962.951,111.874,1398.534,12.943,352.782,120.973
54,978955433,1963.214,111.885,1398.423,14.450,353.202,120.073
55,94798970,1963.441,111.905,1398.337,15.988,354.122,119.433
55,250986282,1963.742,111.924,1398.230,17.654,355.429,118.194
